##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
PROV2276;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Cordillera Norte del Centro del Atlбntico medio;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Northern Central Mid-Atlantic Ridge;Срединно-Атлантический хребет;;;X
PROV2277;Cape Bolador;Cape Bolador;Cape Bolador;Cabo Bolador;Cape Bolador;Cape Bolador;Cape Bolador;мыс Боладор;;;X
PROV2278;Gulf of Cadiz;Gulf of Cadiz;Gulf of Cadiz;Golfo de Cбdiz;Gulf of Cadiz;Gulf of Cadiz;Gulf of Cadiz;Кадисский залив;;;X
PROV2279;Coast of Morocco;Coast of Morocco;Coast of Morocco;Costa de Marruecos;Coast of Morocco;Coast of Morocco;Coast of Morocco;побережье Марокко;;;X
PROV2280;Madeira Plain;Madeira Plain;Madeira Plain;Llanura Madeira;Madeira Plain;Madeira Plain;Madeira Plain;плато Мадейра;;;X
PROV2281;Faro Canyon;Faro Canyon;Faro Canyon;Caсon del Faro;Faro Canyon;Faro Canyon;Faro Canyon;каньон Фару;;;X
PROV2282;South Iberian Plain;South Iberian Plain;South Iberian Plain;Llanura Sur Iberica;South Iberian Plain;South Iberian Plain;South Iberian Plain;Юг Иберийского плато;;;X
PROV2283;Bay of Setubal;Bay of Setubal;Bay of Setubal;Bahia de Setubal;Bay of Setubal;Bay of Setubal;Bay of Setubal;залив Сетубал;;;X
PROV2284;North Iberian Plain;North Iberian Plain;North Iberian Plain;Llanura Norte Iberica;North Iberian Plain;North Iberian Plain;North Iberian Plain;Север Иберийского плато;;;X
PROV2285;Cap Finisterre;Cap Finisterre;Cap Finisterre;Cabo Finisterre;Cap Finisterre;Cap Finisterre;Cap Finisterre;мыс Финистер;;;X
PROV2286;Madeira Island;Madeira Island;Madeira Island;Islas de Madeira;Madeira Island;Madeira Island;Madeira Island;о-в Мадейра;;;X
PROV2287;Terceira Rift;Terceira Rift;Terceira Rift;Terceira Rift;Terceira Rift;Terceira Rift;Terceira Rift;сдвиг Терсейра;;;X
PROV2288;Azores Platform;Azores Platform;Azores Platform;Plantaforma de las Azores;Azores Platform;Azores Platform;Azores Platform;Азорские о-ва;;;X
PROV2289;Falkland Plateau;Falkland Plateau;Falkland Plateau;Meseta de las Malvinas;Falkland Plateau;Falkland Plateau;Falkland Plateau;Фолклендское плато;;;X
PROV2290;West South Sandwich Trench;West South Sandwich Trench;West South Sandwich Trench;Suroeste Sandwich Trench;West South Sandwich Trench;West South Sandwich Trench;West South Sandwich Trench;Запад южной части Сандвичева желоба;;;X
PROV2291;Southeast Argentine Plain;Southeast Argentine Plain;Southeast Argentine Plain;Llanura Sureste Argentina;Southeast Argentine Plain;Southeast Argentine Plain;Southeast Argentine Plain;Юго-восток Аргентинского плато;;;X
PROV2292;Rio Grande Fracture Zone;Rio Grande Fracture Zone;Rio Grande Fracture Zone;Grieta Rio Grande;Rio Grande Fracture Zone;Rio Grande Fracture Zone;Rio Grande Fracture Zone;разлом Рио-Гранде;;;X
PROV2293;Rio Grande Plateau;Rio Grande Plateau;Rio Grande Plateau;Meseta de Rio Grande;Rio Grande Plateau;Rio Grande Plateau;Rio Grande Plateau;плато Рио-Гранде;;;X
PROV2294;Trindade Island;Trindade Island;Trindade Island;Islas Trinidad;Trindade Island;Trindade Island;Trindade Island;о-в Триндади;;;X
PROV2295;Rio de la Plata;Rio de la Plata;Rio de la Plata;Rio de la Plata;Rio de la Plata;Rio de la Plata;Rio de la Plata;Рио-де-ла-Плата;;;X
PROV2296;Magellan Straits;Magellan Straits;Magellan Straits;Estrecho de Magallanes;Magellan Straits;Magellan Straits;Magellan Straits;Магелланов пролив;;;X
PROV2297;Scotia Sea;Scotia Sea;Scotia Sea;Mar de Scotia;Scotia Sea;Scotia Sea;Scotia Sea;море Скоша;;;X
PROV2298;Argentine Basin;Argentine Basin;Argentine Basin;Cuenca Argentina;Argentine Basin;Argentine Basin;Argentine Basin;Аргентинское море;;;X
PROV2299;Laguna dos Patos;Laguna dos Patos;Laguna dos Patos;Laguna dos Patos;Laguna dos Patos;Laguna dos Patos;Laguna dos Patos;озеро Патос;;;X
PROV2300;Cape Frio;Cape Frio;Cape Frio;Cabo Frio;Cape Frio;Cape Frio;Cape Frio;Кабу-Фриу;;;X
PROV2301;Santos Plateau;Santos Plateau;Santos Plateau;Meseta de Santos;Santos Plateau;Santos Plateau;Santos Plateau;плато Сантуш;;;X
PROV2302;Coast of Nordeste;Coast of Nordeste;Coast of Nordeste;Costa de Nordeste;Coast of Nordeste;Coast of Nordeste;Coast of Nordeste;побережье северо-восточной Бразилии;;;X
PROV2303;Ponta do Caleanhar;Ponta do Caleanhar;Ponta do Caleanhar;Ponta do Caleanhar;Ponta do Caleanhar;Ponta do Caleanhar;Ponta do Caleanhar;Понта-ду-Калеаньяр;;;X
PROV2304;Guyana Coast;Guyana Coast;Guyana Coast;Costa del Guyana;Guyana Coast;Guyana Coast;Guyana Coast;побережье Гвианы;;;X
PROV2305;Demeraro Plain;Demeraro Plain;Demeraro Plain;Cuenca Demeraro;Demeraro Plain;Demeraro Plain;Demeraro Plain;плато Демераро;;;X
PROV2306;Venezuelan Archipelago;Venezuelan Archipelago;Venezuelan Archipelago;Archipelago Venezolano;Venezuelan Archipelago;Venezuelan Archipelago;Venezuelan Archipelago;Венесуэльские острова;;;X
PROV2307;Windward Islands;Windward Islands;Windward Islands;Islass Windward;Windward Islands;Windward Islands;Windward Islands;Наветренные острова;;;X
PROV2308;Northern Guiana Basin;Northern Guiana Basin;Northern Guiana Basin;Cuenca Norte de Guiana;Northern Guiana Basin;Northern Guiana Basin;Northern Guiana Basin;Северное Гвианское море;;;X
PROV2309;Puerto Rico Trench;Puerto Rico Trench;Puerto Rico Trench;Zanja de Puerto Rico;Puerto Rico Trench;Puerto Rico Trench;Puerto Rico Trench;желоб Пуэрто-Рико;;;X
PROV2310;Nares Plain;Nares Plain;Nares Plain;Cuenca del Nares;Nares Plain;Nares Plain;Nares Plain;плато Нареса;;;X
PROV2311;Bermuda Plateau;Bermuda Plateau;Bermuda Plateau;Meseta de las Bermudas;Bermuda Plateau;Bermuda Plateau;Bermuda Plateau;Бермудское плато;;;X
PROV2312;Grassy Bay;Grassy Bay;Grassy Bay;Bahia de Grassy;Grassy Bay;Grassy Bay;Grassy Bay;Грасси-Бэй;;;X
PROV2313;Sohm Plain;Sohm Plain;Sohm Plain;Cuenca Sohm;Sohm Plain;Sohm Plain;Sohm Plain;плато Сома;;;X
PROV2314;Sargasso Sea;Sargasso Sea;Sargasso Sea;Mar Sargasso;Sargasso Sea;Sargasso Sea;Sargasso Sea;Саргассово море;;;X
PROV2315;Blake Plateau;Blake Plateau;Blake Plateau;Meseta Blake;Blake Plateau;Blake Plateau;Blake Plateau;плато Блейка;;;X
PROV2316;Florida Coast;Florida Coast;Florida Coast;Costa de Florida;Florida Coast;Florida Coast;Florida Coast;побережье Флориды;;;X
PROV2317;Leeward Islands;Leeward Islands;Leeward Islands;Islas Leeward;Leeward Islands;Leeward Islands;Leeward Islands;Подветренные острова;;;X
PROV2318;Bermuda Rise;Bermuda Rise;Bermuda Rise;Bermuda Rise;Bermuda Rise;Bermuda Rise;Bermuda Rise;Бермудское нагорье;;;X
PROV2319;South Hatteras Plain;South Hatteras Plain;South Hatteras Plain;Cuenca Sur de Hatteras;South Hatteras Plain;South Hatteras Plain;South Hatteras Plain;Южное плато Хаттерас;;;X
PROV2320;Bahamas Archipelago;Bahamas Archipelago;Bahamas Archipelago;Archipiйlago de las Bahamas;Bahamas Archipelago;Bahamas Archipelago;Bahamas Archipelago;Багамские острова;;;X
PROV2321;Chesapeake Bay;Chesapeake Bay;Chesapeake Bay;Bahнa de Chesapeake;Chesapeake Bay;Chesapeake Bay;Chesapeake Bay;Чесапикский залив;;;X
PROV2322;Northern Hatteras Plain;Northern Hatteras Plain;Northern Hatteras Plain;Cuenca Norte de Hatteras;Northern Hatteras Plain;Northern Hatteras Plain;Northern Hatteras Plain;Северное плато Хаттерас;;;X
PROV2323;Coast of Long Island;Coast of Long Island;Coast of Long Island;Costa de Long Islasnd;Coast of Long Island;Coast of Long Island;Coast of Long Island;побережье Лонг-Айленда;;;X
PROV2324;Gulf of St. Lawrence;Gulf of St. Lawrence;Gulf of St. Lawrence;Golfo de St. Lawrence;Gulf of St. Lawrence;Gulf of St. Lawrence;Gulf of St. Lawrence;залив Св. Лаврентия;;;X
PROV2325;Bay of Fundy;Bay of Fundy;Bay of Fundy;Bahнa de Fundy;Bay of Fundy;Bay of Fundy;Bay of Fundy;залив Фанди;;;X
PROV2326;Coast of Nova Scotia;Coast of Nova Scotia;Coast of Nova Scotia;Costa de Nova Scotia;Coast of Nova Scotia;Coast of Nova Scotia;Coast of Nova Scotia;побережье Новой Шотландии;;;X
PROV2327;Gulf of Maine;Gulf of Maine;Gulf of Maine;Golfo de Maine;Gulf of Maine;Gulf of Maine;Gulf of Maine;залив Мэн;;;X
PROV2328;East Bermuda;East Bermuda;East Bermuda;Este de Bermudas;East Bermuda;East Bermuda;East Bermuda;Восточные Бермудские острова;;;X
PROV2329;Grand Banks;Grand Banks;Grand Banks;Grandes Bancos;Grand Banks;Grand Banks;Grand Banks;Большая Ньюфаундлендская банка;;;X
PROV2330;Corner Spearmounts;Corner Spearmounts;Corner Spearmounts;Corner Spearmounts;Corner Spearmounts;Corner Spearmounts;Corner Spearmounts;Скалистые горы;;;X
PROV2331;Southern North Mid-Atlantic Sea Ridge;Southern North Mid-Atlantic Sea Ridge;Southern North Mid-Atlantic Sea Ridge;Cordillera Sur del Norte del Atlбntico medio;Southern North Mid-Atlantic Sea Ridge;Southern North Mid-Atlantic Sea Ridge;Southern North Mid-Atlantic Sea Ridge;Юг северной части Срединно-Атлантического хребта;;;X
PROV2332;Mid-Ocean Canyon;Mid-Ocean Canyon;Mid-Ocean Canyon;Caсуn Medio-Oceбnico;Mid-Ocean Canyon;Mid-Ocean Canyon;Mid-Ocean Canyon;Срединноокеанский каньон;;;X
PROV2333;Flemish Cap;Flemish Cap;Flemish Cap;Cabo Flemish;Flemish Cap;Flemish Cap;Flemish Cap;банка Флемиш-Кап;;;X
PROV2334;Cape Race;Cape Race;Cape Race;Cabo Race;Cape Race;Cape Race;Cape Race;мыс Рейс;;;X
PROV2335;Newfoundland Plain;Newfoundland Plain;Newfoundland Plain;Llanura de Newfoundland;Newfoundland Plain;Newfoundland Plain;Newfoundland Plain;плато Ньюфаундленд;;;X
PROV2336;Apalachee Bay;Apalachee Bay;Apalachee Bay;Bahнa de Apalaches;Apalachee Bay;Apalachee Bay;Apalachee Bay;Апалачский залив;;;X
PROV2337;Florida Straits;Florida Straits;Florida Straits;Estrecho de Florida;Florida Straits;Florida Straits;Florida Straits;Флоридский пролив;;;X
PROV2338;Louisiana Coast;Louisiana Coast;Louisiana Coast;Costa de Luisiana;Louisiana Coast;Louisiana Coast;Louisiana Coast;побережье Луизианы;;;X
PROV2339;Yucatan Coast;Yucatan Coast;Yucatan Coast;Costa de Yucatбn;Yucatan Coast;Yucatan Coast;Yucatan Coast;побережье Юкатана;;;X
PROV2340;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Golfo de Mйxico;Gulf of Mexico;Gulf of Mexico;Gulf of Mexico;Мексиканский залив;;;X
PROV2341;Gulf of Campeche;Gulf of Campeche;Gulf of Campeche;Golfo de Campeche;Gulf of Campeche;Gulf of Campeche;Gulf of Campeche;залив Кампече;;;X
PROV2342;Gulf of Honduras;Gulf of Honduras;Gulf of Honduras;Golfo de Honduras;Gulf of Honduras;Gulf of Honduras;Gulf of Honduras;Гондурасский залив;;;X
PROV2343;Yucatan Channel;Yucatan Channel;Yucatan Channel;Canal del Yucatбn;Yucatan Channel;Yucatan Channel;Yucatan Channel;Юкатанский пролив;;;X
PROV2344;Mosquito Coast;Mosquito Coast;Mosquito Coast;Costa Mosquito;Mosquito Coast;Mosquito Coast;Mosquito Coast;Москитовый берег;;;X
PROV2345;Gulf of Mosquitoes;Gulf of Mosquitoes;Gulf of Mosquitoes;Golfo de Mosquitos;Gulf of Mosquitoes;Gulf of Mosquitoes;Gulf of Mosquitoes;Москитовый залив;;;X
PROV2346;Jamaica Channel;Jamaica Channel;Jamaica Channel;Canal de Jamaica;Jamaica Channel;Jamaica Channel;Jamaica Channel;пролив Ямайка;;;X
PROV2347;Caribbean Sea;Caribbean Sea;Caribbean Sea;Mar Caribe;Caribbean Sea;Caribbean Sea;Caribbean Sea;Карибское море;;;X
PROV2348;Gulf of Venezuela;Gulf of Venezuela;Gulf of Venezuela;Golfo de Venezuela;Gulf of Venezuela;Gulf of Venezuela;Gulf of Venezuela;Венесуэльский залив;;;X
PROV2349;Gulf of Darien;Gulf of Darien;Gulf of Darien;Golfo de Dariйn;Gulf of Darien;Gulf of Darien;Gulf of Darien;Дарьенский залив;;;X
PROV2350;Gulf of Tehuantepec;Gulf of Tehuantepec;Gulf of Tehuantepec;Golfo de Tehuantepec;Gulf of Tehuantepec;Gulf of Tehuantepec;Gulf of Tehuantepec;залив Теуантепек;;;X
PROV2351;Guatemala Basin;Guatemala Basin;Guatemala Basin;Cuenca Guatemalteca;Guatemala Basin;Guatemala Basin;Guatemala Basin;Гватемальское море;;;X
PROV2352;Panama Basin;Panama Basin;Panama Basin;Cuenca de Panamб;Panama Basin;Panama Basin;Panama Basin;Панамское море;;;X
PROV2353;Gulf of Panama;Gulf of Panama;Gulf of Panama;Golfo de Panamб;Gulf of Panama;Gulf of Panama;Gulf of Panama;Панамский залив;;;X
PROV2354;Coast of Colombia;Coast of Colombia;Coast of Colombia;Costa de Colombia;Coast of Colombia;Coast of Colombia;Coast of Colombia;побережье Колумбии;;;X
PROV2355;Peruvian Coast;Peruvian Coast;Peruvian Coast;Costa Peruana;Peruvian Coast;Peruvian Coast;Peruvian Coast;побережье Перу;;;X
PROV2356;Peru Basin;Peru Basin;Peru Basin;Cuenca del Perъ;Peru Basin;Peru Basin;Peru Basin;Перуанское море;;;X
PROV2357;Chile Rise;Chile Rise;Chile Rise;Pico Chile ;Chile Rise;Chile Rise;Chile Rise;Чилийский хребет;;;X
PROV2358;Atacama Trench;Atacama Trench;Atacama Trench;Zanaja de Atacama;Atacama Trench;Atacama Trench;Atacama Trench;Перуано-Чилийский желоб;;;X
PROV2359;South Chilean Coast;South Chilean Coast;South Chilean Coast;Costa Sur Chilena;South Chilean Coast;South Chilean Coast;South Chilean Coast;Южное побережье Чили;;;X
PROV2360;Nazca Ridge;Nazca Ridge;Nazca Ridge;Nazca Ridge;Nazca Ridge;Nazca Ridge;Nazca Ridge;хребет Наска;;;X
PROV2361;Chile Basin;Chile Basin;Chile Basin;Cuenca de Chile;Chile Basin;Chile Basin;Chile Basin;Чилийское море;;;X
PROV2362;East Eltanin Fracture Zone;East Eltanin Fracture Zone;East Eltanin Fracture Zone;Grieta Este de Eltanin;East Eltanin Fracture Zone;East Eltanin Fracture Zone;East Eltanin Fracture Zone;Восточная зона разлома Элтанин;;;X
PROV2363;Northwest Humboldt Plain;Northwest Humboldt Plain;Northwest Humboldt Plain;Llanura Noroeste de Humboldt;Northwest Humboldt Plain;Northwest Humboldt Plain;Northwest Humboldt Plain;Северо-западное плато Гумбольдта;;;X
PROV2364;South Nazea Ridge;South Nazea Ridge;South Nazea Ridge;Cordillera del Sur de Nazea ;South Nazea Ridge;South Nazea Ridge;South Nazea Ridge;Южный хребет Наска;;;X
PROV2365;West Challenger Fracture Zone;West Challenger Fracture Zone;West Challenger Fracture Zone;Grieta West Challenger;West Challenger Fracture Zone;West Challenger Fracture Zone;West Challenger Fracture Zone;Западная зона разлома Челленджер;;;X
PROV2366;Central Challenger Fracture Zone;Central Challenger Fracture Zone;Central Challenger Fracture Zone;Grieta Central Challenger;Central Challenger Fracture Zone;Central Challenger Fracture Zone;Central Challenger Fracture Zone;Центральная зона разлома Челленджер;;;X
PROV2367;East Challenger Fracture Zone;East Challenger Fracture Zone;East Challenger Fracture Zone;Grieta Challenger Oriental;East Challenger Fracture Zone;East Challenger Fracture Zone;East Challenger Fracture Zone;Восточная зона разлома Челленджер;;;X
PROV2368;Colon Ridge;Colon Ridge;Colon Ridge;Cordillera Colon;Colon Ridge;Colon Ridge;Colon Ridge;горстовый массив Сьерра-Невада-де-Санта-Марта;;;X
PROV2369;Peru Basin;Peru Basin;Peru Basin;Perъ Basin;Peru Basin;Peru Basin;Peru Basin;Перуанское море;;;X
PROV2370;East Easter Fracture Zone;East Easter Fracture Zone;East Easter Fracture Zone;Grieta del Este Oriental;East Easter Fracture Zone;East Easter Fracture Zone;East Easter Fracture Zone;Восточная зона разлома у острова Пасхи;;;X
PROV2371;East Marquesas Fracture Zone;East Marquesas Fracture Zone;East Marquesas Fracture Zone;Grieta del Este de Marquesas;East Marquesas Fracture Zone;East Marquesas Fracture Zone;East Marquesas Fracture Zone;Восточная зона Маркизского разлома;;;X
PROV2372;Central Marquesas Fracture Zone;Central Marquesas Fracture Zone;Central Marquesas Fracture Zone;Grieta del Centro de Marquesas;Central Marquesas Fracture Zone;Central Marquesas Fracture Zone;Central Marquesas Fracture Zone;Центральная зона Маркизского разлома;;;X
PROV2373;West Marquesas Fracture Zone;West Marquesas Fracture Zone;West Marquesas Fracture Zone;Grieta del Oeste Oriental;West Marquesas Fracture Zone;West Marquesas Fracture Zone;West Marquesas Fracture Zone;Западная зона Маркизского разлома;;;X
PROV2374;Northeast Pacific Basin;Northeast Pacific Basin;Northeast Pacific Basin;Cuenca del Pacifica Noreste;Northeast Pacific Basin;Northeast Pacific Basin;Northeast Pacific Basin;Северо-восток Тихого океана;;;X
PROV2375;Clipperton Fracture Zone;Clipperton Fracture Zone;Clipperton Fracture Zone;Grieta de Clipperton;Clipperton Fracture Zone;Clipperton Fracture Zone;Clipperton Fracture Zone;разлом Клиппертона;;;X
PROV2376;West Clipperton Fracture Zone;West Clipperton Fracture Zone;West Clipperton Fracture Zone;Grieta del Oeste de Clipperton;West Clipperton Fracture Zone;West Clipperton Fracture Zone;West Clipperton Fracture Zone;Западная зона разлома Клиппертона;;;X
PROV2377;Galapagos Fracture Zone;Galapagos Fracture Zone;Galapagos Fracture Zone;Grieta de Galбpagos;Galapagos Fracture Zone;Galapagos Fracture Zone;Galapagos Fracture Zone;Галапагосский желоб;;;X
PROV2378;Eastern Pacific Plateau;Eastern Pacific Plateau;Eastern Pacific Plateau;Meseta del Pacifico Oriental;Eastern Pacific Plateau;Eastern Pacific Plateau;Eastern Pacific Plateau;Восточно-Тихоокеанское плато;;;X
PROV2379;Mendocino Fracture Zone;Mendocino Fracture Zone;Mendocino Fracture Zone;Grieta de Mendocino;Mendocino Fracture Zone;Mendocino Fracture Zone;Mendocino Fracture Zone;разлом Мендосино;;;X
PROV2380;Clarion Fracture Zone;Clarion Fracture Zone;Clarion Fracture Zone;Grieta de Clariуn;Clarion Fracture Zone;Clarion Fracture Zone;Clarion Fracture Zone;разлом Кларион;;;X
PROV2381;East Menocino Fracture Zone;East Menocino Fracture Zone;East Menocino Fracture Zone;Grieta del Este de Menocino ;East Menocino Fracture Zone;East Menocino Fracture Zone;East Menocino Fracture Zone;Восточная зона разлома Мендосино;;;X
PROV2382;Molokai Fracture Zone;Molokai Fracture Zone;Molokai Fracture Zone;Grieta de Molokai;Molokai Fracture Zone;Molokai Fracture Zone;Molokai Fracture Zone;разлом Молокаи;;;X
PROV2383;Kahuku Point;Kahuku Point;Kahuku Point;Punto Kahuku;Kahuku Point;Kahuku Point;Kahuku Point;мыс Кахуку;;;X
PROV2384;Gulf of California;Gulf of California;Gulf of California;Golfo de California;Gulf of California;Gulf of California;Gulf of California;Калифорнийский залив;;;X
PROV2385;Mexican Pacific Coast;Mexican Pacific Coast;Mexican Pacific Coast;Costa del Pacifico Mexicano;Mexican Pacific Coast;Mexican Pacific Coast;Mexican Pacific Coast;Тихоокеанское побережье Мексики;;;X
PROV2386;Alijos Rocks;Alijos Rocks;Alijos Rocks;Montaсas Alijos;Alijos Rocks;Alijos Rocks;Alijos Rocks;Рокас-Алихос;;;X
PROV2387;Middle America Trench;Middle America Trench;Middle America Trench;Zanja del Centro de Amйrica;Middle America Trench;Middle America Trench;Middle America Trench;Центральноамериканский желоб;;;X
PROV2388;Oregon Coast;Oregon Coast;Oregon Coast;Costa de Oregуn;Oregon Coast;Oregon Coast;Oregon Coast;побережье Орегона;;;X
PROV2389;California Coast;California Coast;California Coast;Costa de California;California Coast;California Coast;California Coast;побережье Калифорнии;;;X
PROV2390;Juan de Fuca Ridge;Juan de Fuca Ridge;Juan de Fuca Ridge;Cordillera Juan de Fuca;Juan de Fuca Ridge;Juan de Fuca Ridge;Juan de Fuca Ridge;подводный хребет Хуан де Фука;;;X
PROV2391;Patton Escarpment;Patton Escarpment;Patton Escarpment;Patton Escarpment;Patton Escarpment;Patton Escarpment;Patton Escarpment;откос Паттона;;;X
PROV2392;Alexander Archipelago;Alexander Archipelago;Alexander Archipelago;Archipiйlago Alexander;Alexander Archipelago;Alexander Archipelago;Alexander Archipelago;архипелаг Александра;;;X
PROV2393;Cascadia Basin;Cascadia Basin;Cascadia Basin;Cuenca Cascadia;Cascadia Basin;Cascadia Basin;Cascadia Basin;Каскадийское плато;;;X
PROV2394;Alaskan Coast;Alaskan Coast;Alaskan Coast;Costa de Alaska;Alaskan Coast;Alaskan Coast;Alaskan Coast;побережье Аляски;;;X
PROV2395;Aleutian Trench;Aleutian Trench;Aleutian Trench;Zanja de Aleutian;Aleutian Trench;Aleutian Trench;Aleutian Trench;Алеутский желоб;;;X
PROV2396;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;Archipiйlago Aleutian;Aleutian Archipelago;Aleutian Archipelago;Aleutian Archipelago;Алеутские острова;;;X
PROV2397;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;Golfo de Alaska;Gulf of Alaska;Gulf of Alaska;Gulf of Alaska;Аляскинский залив;;;X
PROV2398;Tufts Plain;Tufts Plain;Tufts Plain;Llanura Tufts;Tufts Plain;Tufts Plain;Tufts Plain;плато Тафтса;;;X
PROV2399;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;Monte submarino Cornstock;Cornstock Seamount;Cornstock Seamount;Cornstock Seamount;гора Корнсток;;;X
PROV2400;North Pacific Basin;North Pacific Basin;North Pacific Basin;Cuenca del Pacifico Norte;North Pacific Basin;North Pacific Basin;North Pacific Basin;Север Тихого океана;;;X
PROV2401;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;Grieta de Mendocino Oeste;West Mendocino Fracture Zone;West Mendocino Fracture Zone;West Mendocino Fracture Zone;Западная зона разлома Мендосино;;;X
PROV2402;Bering Straits;Bering Straits;Bering Straits;Estrecho de Bering;Bering Straits;Bering Straits;Bering Straits;Берингов пролив;;;X
PROV2403;Bristol Bay;Bristol Bay;Bristol Bay;Bahнa de Bristol;Bristol Bay;Bristol Bay;Bristol Bay;Бристольский залив;;;X
PROV2404;Bering Sea;Bering Sea;Bering Sea;Mar de Bering;Bering Sea;Bering Sea;Bering Sea;Берингово море;;;X
PROV2405;Bowers Basin;Bowers Basin;Bowers Basin;Cuenca de Bowers;Bowers Basin;Bowers Basin;Bowers Basin;море Бауэра;;;X
PROV2406;Commodore Islands;Commodore Islands;Commodore Islands;Islas Comodoro;Commodore Islands;Commodore Islands;Commodore Islands;Коммандорские острова;;;X
PROV2407;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;Costa Kamchatka Este;East Kamchatka Coast;East Kamchatka Coast;East Kamchatka Coast;Восточное побережье Камчатки;;;X
PROV2408;Kuril Trench;Kuril Trench;Kuril Trench;Zanja Kuril;Kuril Trench;Kuril Trench;Kuril Trench;Курило-Камчатский желоб;;;X
PROV2409;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;Cuenca Kamchatka;Kamchatka Basin;Kamchatka Basin;Kamchatka Basin;Берингово море;;;X
PROV2410;Hess Rise;Hess Rise;Hess Rise;Hess Rise;Hess Rise;Hess Rise;Hess Rise;желоб Гесса;;;X
PROV2411;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Emperor Trough;Императорский проход;;;X
PROV2412;Emperor Ridge;Emperor Ridge;Emperor Ridge;Cordillera Emperor;Emperor Ridge;Emperor Ridge;Emperor Ridge;Императорский желоб;;;X
PROV2413;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;Cuenca del Pacifico Noroeste;Northwest Pacific Basin;Northwest Pacific Basin;Northwest Pacific Basin;Северо-запад Тихого океана;;;X
PROV2414;Wake Island;Wake Island;Wake Island;Islas Wake;Wake Island;Wake Island;Wake Island;остров Уэйк;;;X
PROV2415;Bonin Trench;Bonin Trench;Bonin Trench;Zanja Bonin;Bonin Trench;Bonin Trench;Bonin Trench;Бонинский желоб;;;X
PROV2416;Marcus Island;Marcus Island;Marcus Island;Islas Marcos;Marcus Island;Marcus Island;Marcus Island;остров Маркус;;;X
PROV2417;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Cordillera del Pacifico Medio Oeste ;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Western Mid Pacific Ridges;Запад Срединно-Тихоокеанского хребта;;;X
PROV2418;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;Ocйano Pacifico Occidental;West Pacific Ocean;West Pacific Ocean;West Pacific Ocean;Запад Тихого океана;;;X
PROV2419;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Cordillera del Pacifico Medio Este;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Eastern Mid Pacific Ridge;Восточный Срединно-Тихоокеанский хребет;;;X
PROV2420;Japan Trench;Japan Trench;Japan Trench;Zanja Japonesa;Japan Trench;Japan Trench;Japan Trench;Японский желоб;;;X
PROV2421;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Bounty Trough;Баунти-Тру;;;X
PROV2422;Barkert Seamount;Barkert Seamount;Barkert Seamount;Monte submarino Barkert;Barkert Seamount;Barkert Seamount;Barkert Seamount;гора Баркерт;;;X
PROV2423;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;Grieta de Eltanin Oeste;West Eltanin Fracture Zone;West Eltanin Fracture Zone;West Eltanin Fracture Zone;Западная зона разлома Элтанин;;;X
PROV2424;Marshall Islands;Marshall Islands;Marshall Islands;Islas Marshall;Marshall Islands;Marshall Islands;Marshall Islands;Маршалловы острова;;;X
PROV2425;Ratak Islands;Ratak Islands;Ratak Islands;Islas Ratak;Ratak Islands;Ratak Islands;Ratak Islands;цепь Ратак;;;X
PROV2426;East Mariana Basin;East Mariana Basin;East Mariana Basin;Cuenca Mariana Oriental;East Mariana Basin;East Mariana Basin;East Mariana Basin;Восток Марианского моря;;;X
PROV2427;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;Cuenca Melanesia Oriental;East Melanesian Basin;East Melanesian Basin;East Melanesian Basin;Восток Меланезийского моря;;;X
PROV2428;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;Cuenca Melanesia Occidental;West Melanesian Basin;West Melanesian Basin;West Melanesian Basin;Запад Меланезийского моря;;;X
PROV2429;Ratik Islands;Ratik Islands;Ratik Islands;Islas Ratik;Ratik Islands;Ratik Islands;Ratik Islands;цепь Ралик;;;X
PROV2430;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Estrecho de Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Strait of Gibraltar;Гибралтарский пролив;;;X
